shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
circle,clean,largest,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,205651890,0.0,0.0
circle,salt_pepper_01,full,14694,1190,1.0078740157480315,0.1303935102093028,96.37266911664625,1.0203004230793806,-0.9979150252890563,336.50111441123045,1.0,95.40367214664226,1.7693127910073554,208875467,-168761.41772151907,-0.0007816153757028994
circle,salt_pepper_01,largest,14453,949,1.0,0.20166728050416677,62.312391890956896,1.001134981966868,-0.16680990410125165,136.8941196691808,1.0,76.95601993849598,1.2268054680781084,204934568,-3098.225835466803,-1.4831909461952163e-05
circle,salt_pepper_02,full,14870,1940,1.003921568627451,0.04964978505567034,253.10020174848688,1.0425607378272697,-0.9571999868294151,346.666987179339,1.0,96.42780968061363,3.4878808031089497,211958307,-395592.2395427033,-0.0017890637917893355
circle,salt_pepper_02,largest,14389,1459,1.0,0.0849434493801627,147.9380776982417,1.0017439850693037,-0.026557723318393747,138.00362314084367,1.0,71.91209665760557,2.431113254993782,204052152,-768.3536034469969,-3.7110765019413345e-06
circle,salt_pepper_05,full,15407,4045,1.0,0.011832891836764201,1061.986434737457,1.0548787195056446,-1.037594403034613,354.9788726107513,1.0,97.50885189743366,8.192942689503855,221736087,-585366.1707016297,-0.002465990817371624
circle,salt_pepper_05,largest,14201,2839,1.0,0.022141039483453327,567.5601014013098,1.0027043621811904,-0.9360756831657416,138.4088147481944,1.0,66.84915444025525,5.720490891287474,201351188,-21161.420885853073,-0.00010493176313652168
circle,salt_pepper_10,full,16326,7251,1.0,0.003902059127526651,3220.445975744212,1.0712142095939974,-1.1062659028320745,358.50383540486706,1.0,100.05059648180777,15.00858981922039,238546728,-928730.5721548458,-0.0034844172705418334
circle,salt_pepper_10,largest,13860,4785,1.0,0.007606926325847084,1651.9642857142858,1.002977350094777,-0.8561122507000173,139.17614738165446,1.0,63.9290151336975,10.465563263152418,196524533,-23580.68571428555,-0.00012275239362437794
circle,salt_pepper_15,full,17239,10097,1.0,0.0021248937600112793,5913.8818376936015,1.0675247683608844,-1.0971299918429975,358.50383540486706,1.0,102.28941360845303,20.693588077244375,254725305,-1117819.3935263068,-0.003761382509763422
