shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
building,clean,largest,16520,2029,1.633587786259542,0.050426150183894285,249.20345036319614,2.1636340115595747,-0.06648699102770471,214.3571785595248,1.0,86.01139561291433,3.4531989042068645,281014485,-1527933.8912832928,-0.005598664951146211
building,salt_pepper_01,full,16698,2776,1.0078740157480315,0.027229232309068655,461.50293448317166,2.059957562971054,-0.06926339475321817,336.50111441123045,1.0,92.01354119030968,5.0601350345686145,283685799,-1569852.7166127698,-0.0056302800272418135
building,salt_pepper_01,largest,16452,2530,1.633587786259542,0.03229888442991409,389.06515925115485,2.1651259019082882,-0.06562078176975614,214.3571785595248,1.0,85.26102788177941,4.564244929891959,279990819,-1503579.0098468275,-0.005555061259950214
building,salt_pepper_02,full,16856,3575,1.003921568627451,0.016573426031640724,758.2240745135264,1.9807874580746978,-0.07202430989583046,346.666987179339,1.0,94.2950648592684,6.767725195644646,286103291,-1617242.0790816383,-0.005692014366118542
building,salt_pepper_02,largest,16380,3099,1.621212121212121,0.021432883778329356,586.3126373626374,2.165992969624036,-0.0647838183936388,214.3571785595248,1.0,83.89431460422922,5.830613238703741,278814355,-1478846.1980464056,-0.0055118223854935125
building,salt_pepper_05,full,17327,5743,1.0,0.006601697294034138,1903.5060310498066,1.7951293614196095,-0.08055616915370072,354.9788726107513,1.0,98.70092897698565,11.307566657280626,293675081,-1759397.1894730814,-0.005860263487556962
building,salt_pepper_05,largest,16158,4574,1.5970149253731343,0.00970521469837097,1294.8060403515287,2.1655062008739567,-0.06522551040431024,214.3571785595248,1.0,82.48171790425322,9.150733512096302,275111512,-1467230.5837356243,-0.0056198298077971874
building,salt_pepper_10,full,18138,9017,1.0,0.002803335793658553,4482.649079281067,1.5736734415439206,-0.08794514643853468,358.50383540486706,1.0,102.63862208194847,17.886976453550147,306845392,-1800535.0603705111,-0.005472966468462239
building,salt_pepper_10,largest,15788,6667,1.5970149253731343,0.004463505471632882,2815.3590701798835,2.1639807557381903,-0.06391139783242397,215.5388596054085,1.0,81.18397210873218,13.967937610067239,269143904,-1404336.177223209,-0.00563400007513094
building,salt_pepper_15,full,18959,11688,1.0,0.0017439935915191536,7205.514214884752,1.4354990051471186,-0.08684666675337094,358.50383540486706,1.0,105.2826496991257,22.94570112585791,318856681,-1657250.4510259035,-0.0046105983736181005
building,salt_pepper_15,largest,15408,8138,1.6119402985074627,0.0029236189135369854,4298.22455867082,2.1605355794186365,-0.05792437191455113,217.29703173306348,1.0,80.44299256495627,17.49437326636728,262578137,-1242134.5316718603,-0.005232100721873606
building,salt_pepper_20,full,19746,14106,1.0,0.0012470424509577283,10076.938924339107,1.353491920958733,-0.08248708163625783,358.50383540486706,1.0,107.05056879581596,27.317791589773517,331919334,-1498666.2583814387,-0.0038436750457679714
building,salt_pepper_20,largest,15116,9476,1.6119402985074627,0.0021154201809099613,5940.366234453559,2.163980759988243,-0.05551864652750058,217.29703173306348,1.0,79.6692060444394,20.742109488150785,258174933,-1170001.966393225,-0.005120505360964145
building,salt_pepper_30,full,21381,18101,1.0,0.0008200356643403091,15324.175716757869,1.2200547508905917,-0.0802480156417442,359.21302871694394,1.0,110.92929105428591,33.92075539081882,357366824,-1195730.130957395,-0.0026156350360828228
building,salt_pepper_30,largest,14453,11173,1.6,0.0014548836696631872,8637.37141077977,2.156831901531754,-0.05652678566110965,217.29703173306348,1.0,79.10141543892105,25.217173334917497,247108080,-1139617.9292880313,-0.005455609386160447
building,gaussian_05,full,16520,2029,1.633587786259542,0.050426150183894285,249.20345036319614,2.1636340115595747,-0.06648699102770471,214.3571785595248,1.0,86.01139561291433,3.4531989042068645,281014485,-1527933.8912832928,-0.005598664951146211
building,gaussian_05,largest,16520,2029,1.633587786259542,0.050426150183894285,249.20345036319614,2.1636340115595747,-0.06648699102770471,214.3571785595248,1.0,86.01139561291433,3.4531989042068645,281014485,-1527933.8912832928,-0.005598664951146211
building,gaussian_10,full,16520,2029,1.633587786259542,0.050426150183894285,249.20345036319614,2.1636340115595747,-0.06648699102770471,214.3571785595248,1.0,86.01139561291433,3.4531989042068645,281014485,-1527933.8912832928,-0.005598664951146211
building,gaussian_10,largest,16520,2029,1.633587786259542,0.050426150183894285,249.20345036319614,2.1636340115595747,-0.06648699102770471,214.3571785595248,1.0,86.01139561291433,3.4531989042068645,281014485,-1527933.8912832928,-0.005598664951146211
building,gaussian_15,full,16528,2088,0.9,0.047639717725198635,263.77928363988383,2.1542757608740177,-0.06750223938898364,297.0605998782067,1.0,86.30493903999526,3.5815814342062415,281134887,-1548703.4751936174,-0.005669276836304252
building,gaussian_15,largest,16513,2073,1.633587786259542,0.04828778014318034,260.2391449161267,2.1641478613928946,-0.06633522144571913,214.3571785595248,1.0,85.60901858636058,3.550733254070691,280902547,-1524566.1048264997,-0.00559106187105367
building,gaussian_20,full,16716,2978,1.0,0.023686060795692694,530.5386456089974,2.0321184909275782,-0.07536283124746782,351.51813608973293,1.0,92.28181901939493,5.497609096812119,284194943,-1697921.6949030824,-0.0060764920290465796
building,gaussian_20,largest,16432,2694,1.633587786259542,0.02845149604294703,441.6769717624148,2.166507526401714,-0.06692915106657686,214.3571785595248,1.0,84.1546113806142,4.928535793340873,279534478,-1533378.2210321336,-0.005678955140047132
building,gaussian_30,full,18117,8841,1.0,0.0029126839803506346,4314.3611525086935,1.5842628298324224,-0.09610758996808338,355.7091508522096,1.0,101.23019535020323,17.529056960695613,306492557,-1991686.3558536137,-0.006068039226063179
building,gaussian_30,largest,15828,6552,1.628787878787879,0.004633275537134244,2712.200151630023,2.181489305711416,-0.06656828302502282,215.5388596054085,1.0,79.01105710588988,13.691154835248764,269281398,-1489230.148218345,-0.005944423417523477
building,gaussian_50,full,21716,18759,1.0,0.0007754795153384001,16204.645468778781,1.2082832398556704,-0.08001416475617025,358.50941410233565,1.0,111.79154840391895,34.90995285020454,362439235,-1190996.21219378,-0.0025255194312212314
building,gaussian_50,largest,14255,11298,1.614814814814815,0.0014033756760493752,8954.388214661521,2.187511989673417,-0.06763209305973286,217.00921639414304,1.0,78.47073598886195,25.693961365140176,243385294,-1384034.7210101744,-0.006811026061044378
building,blur,full,16600,1794,1.633587786259542,0.06481463425041302,193.88168674698795,2.167681355548047,-0.06707927335629885,214.15881957089695,1.0,87.03534391423958,2.9279274955615935,282565097,-1550450.1840361462,-0.005626542981695987
building,blur,largest,16600,1794,1.633587786259542,0.06481463425041302,193.88168674698795,2.167681355548047,-0.06707927335629885,214.15881957089695,1.0,87.03534391423958,2.9279274955615935,282565097,-1550450.1840361462,-0.005626542981695987
building,erode,full,14491,1693,1.627906976744186,0.06353225995811207,197.79511420881926,2.0583596529292847,-0.09125947914051931,211.0213259365034,1.0,86.48673217537544,2.9673713051439723,240649119,-1647249.0074529022,-0.007844450766718209
building,erode,largest,14469,1672,1.627906976744186,0.06503929641146998,193.2119704195176,2.0573852647632824,-0.09362854545256095,211.0213259365034,1.0,86.57899648016767,2.921137600033394,240002304,-1684697.57854724,-0.008047202283179187
building,dilate,full,18368,1602,1.6240601503759398,0.08993872182421368,139.72147212543555,2.233583163927897,-0.0499756445783436,216.72332592501436,1.0,89.47443721181385,2.334468694172996,318082657,-1377163.4756097612,-0.004081894300799322
building,dilate,largest,18368,1602,1.6240601503759398,0.08993872182421368,139.72147212543555,2.233583163927897,-0.0499756445783436,216.72332592501436,1.0,89.47443721181385,2.334468694172996,318082657,-1377163.4756097612,-0.004081894300799322
building,rotate_15,full,16514,2231,1.3125,0.041692986368786066,301.4025069637883,2.1625184128646575,0.1949556800104045,214.66252583997982,1.0,85.90299627284428,3.897432942040979,277434817,4374821.099430787,0.016041897515396735
building,rotate_15,largest,16514,2231,1.3125,0.041692986368786066,301.4025069637883,2.1625184128646575,0.1949556800104045,214.66252583997982,1.0,85.90299627284428,3.897432942040979,277434817,4374821.099430787,0.016041897515396735
building,rotate_30,full,16515,2318,1.0588235294117647,0.03862438512421112,325.3481077808053,2.1651356946250373,0.4562689117738997,214.76731594914529,1.0,85.74973199161747,4.088259013597377,273076804,9127012.782561308,0.033463510800459687
building,rotate_30,largest,16512,2315,1.0588235294117647,0.03871752195220366,324.56546753875966,2.1648988687350905,0.4564531826613152,214.76731594914529,1.0,85.77214743104753,4.082135304954292,273003772,9126833.943313954,0.03347501567201315
building,rotate_45,full,16571,2371,0.9753694581280788,0.03704208921390495,339.24573049303,2.15761200428882,0.7219925107185103,214.11445537375565,1.0,85.58614041579163,4.195798058565529,267831486,11422371.41946774,0.0415966966766079
building,rotate_45,largest,16571,2371,0.9753694581280788,0.03704208921390495,339.24573049303,2.15761200428882,0.7219925107185103,214.11445537375565,1.0,85.58614041579163,4.195798058565529,267831486,11422371.41946774,0.0415966966766079
building,scale_08,full,10604,1511,1.6442307692307692,0.058364753333119294,215.30752546208979,2.1714534112654604,-0.07039633701207175,171.40595088852663,1.0,69.3080415150894,3.1392787392356,179447776,-665783.7193511889,-0.005920981891696891
building,scale_08,largest,10601,1508,1.6442307692307692,0.05858062696688465,214.51410244316574,2.1710925920085007,-0.0701096719243181,171.40595088852663,1.0,69.3419649926826,3.1316449367504378,179391388,-662780.2722384615,-0.005897608019320434
building,scale_12,full,23735,2454,1.6305732484076434,0.04952790788683163,253.7230250684643,2.1671277070959007,-0.06457642995279382,257.30915257720625,1.0,103.42046715138487,3.4933992486688163,405703767,-3081006.5479250094,-0.005469078401317776
