shape,noise,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret,malinowska,zwykly11,centralny11,znormalizowany11
circle,clean,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,0.264823602504783,205651890,0.0,0.0
circle,salt_pepper,18110,12660,1.0,0.0014199102784581347,8850.115958034236,1.0587965003607827,-1.1248124204690095,358.50383540486706,25.538083028523495,271470653,-1119039.4159028141,-0.0034119957639775276
circle,gaussian,16288,7290,1.0,0.0038514349582866618,3262.7762770137524,1.0829276217388921,-1.140111773590251,355.7091508522096,15.11345668517016,238443030,-1015687.589943517,-0.003828464503588514
circle,blur,14501,536,1.0,0.6342759393754955,19.812150886145783,1.0,0,136.0,0.2556276810449378,205595178,0.0,0.0
circle,erode,13965,528,1.0,0.629481482543926,19.963050483351235,1.0,0,133.5065541462291,0.2604003656811591,197995770,0.0,0.0
circle,dilate,15057,552,1.0,0.6209693418544098,20.23670053795577,1.0,0,138.70832707519762,0.2690096379630216,213478146,0.0,0.0
circle,rotate_15,14507,572,1.0,0.5571798697445733,22.553525884055972,1.0019011444903887,-0.5033766330791233,136.95254652615992,0.33968375533155526,222911005,-13441.972082443139,-6.387159580873137e-05
circle,rotate_30,14499,576,1.0,0.5491651220630596,22.88268156424581,1.0009371484762328,0.08909549777972577,136.69308687713507,0.34942429986781853,242252268,1388.8753707153303,6.606739403335494e-06
circle,rotate_45,14509,584,1.0,0.5345910092293853,23.50651319870425,1.0008311654852189,0.778452559248162,136.97079980784227,0.36769473392798124,262666195,6958.848369977685,3.305692192981368e-05
circle,scale_08,9284,431,0.990909090909091,0.6280445560893329,20.00872468763464,1.0019161686228466,1.3218202528419505,109.27488274987991,0.26184140029599057,136127149,3136.015187419123,3.63837864262951e-05
circle,scale_12,20882,649,0.9939393939393939,0.6230064771191147,20.170529642754527,1.0012062439367146,1.3977079562747803,164.13713778423212,0.2669332060976981,285289051,7097.427736806647,1.6276341619253883e-05
circle,translate_small,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,0.264823602504783,250182240,0.0,0.0
circle,translate_big,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,0.264823602504783,342724140,0.0,0.0
rectangle,clean,3680,248,1.7391304347826086,0.7518900211505228,16.713043478260868,3.025531914893617,0.0,90.91754506144565,0.15324834352254357,41820440,0.0,0.0
